"Id;""Designator"";""Footprint"";""Quantity"";""Comment"";""Supplier and ref"";",,,,,,,,,
"1;""S1",S3,S4,S5,S7,S6,"S2"";""PinHeader_1x03_P2.54mm_Vertical"";7;""Conn_01x03"";;;",,,
"2;""C19",C7,C31,C15,C34,C20,C35,C33,C32,"C30"";""CP_Radial_D4.0mm_P1.50mm"";10;""100nF"";;;"
"3;""R22",R18,R20,R13,R23,R19,R5,"R21"";""R_1812_4532Metric"";8;""10K"";;;",,
"4;""C4"";""CP_Radial_D10.0mm_P2.50mm"";1;""47uF"";;;",,,,,,,,,
"5;""C13",C14,C18,C5,"C12"";""CP_Radial_D4.0mm_P1.50mm"";5;""10uF"";;;",,,,,
"6;""C3",C8,"C2"";""CP_Radial_D7.5mm_P2.50mm"";3;""10uF"";;;",,,,,,,
"7;""L1"";""L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"";1;""1uH"";;;",,,,,,,,,
"8;""X1"";""CRYSTAL-SMD_4P-L3.2-W2.5-BL"";1;""X322512MSB4SI"";;;",,,,,,,,,
"9;""R15"";""R_2010_5025Metric"";1;""22.1k"";;;",,,,,,,,,
"10;""C29"";""CP_Radial_D4.0mm_P1.50mm"";1;""10uf"";;;",,,,,,,,,
"11;""U6"";""SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL"";1;""LMR51430YFDDCR"";;;",,,,,,,,,
"12;""U1"";""QFN-24_L3.0-W3.0-P0.40-BL-EP"";1;""MPU6500"";;;",,,,,,,,,
"13;""D1"";""LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder"";1;""LED"";;;",,,,,,,,,
"14;""C28",C27,"C26"";""CP_Radial_D4.0mm_P1.50mm"";3;""1uf"";;;",,,,,,,
"15;""C17","C16"";""CP_Radial_D5.0mm_P2.00mm"";2;""22uF"";;;",,,,,,,,
"16;""R17","R16"";""R_1812_4532Metric"";2;""4.7 k"";;;",,,,,,,,
"17;""R3","R2"";""R_1812_4532Metric"";2;""5.1k"";;;",,,,,,,,
"18;""C6"";""CP_Radial_D8.0mm_P5.00mm"";1;""44uF"";;;",,,,,,,,,
"19;""R10",R11,R24,R9,R4,R8,"R12"";""R_1812_4532Metric"";7;""10k"";;;",,,
"20;""C9",C11,"C10"";""CP_Radial_D7.5mm_P2.50mm"";3;""22uF"";;;",,,,,,,
"21;""R14"";""R_2816_7142Metric"";1;""100k"";;;",,,,,,,,,
"22;""R7"";""R_1812_4532Metric"";1;""5.23k"";;;",,,,,,,,,
"23;""U5"";""VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8"";1;""BQ25883RGER"";;;",,,,,,,,,
"24;""SW2","SW1"";""SW_Push_SPST_NO_Alps_SKRK"";2;""SW_Push"";;;",,,,,,,,
"25;""C22",C21,"C23"";""CP_Radial_D4.0mm_P1.50mm"";3;""0.1uF"";;;",,,,,,,
"26;""C37","C36"";""CP_Radial_D4.0mm_P1.50mm"";2;""6.8pF"";;;",,,,,,,,
"27;""C1"";""CP_Radial_D4.0mm_P1.50mm"";1;""1uF"";;;",,,,,,,,,
"28;""U4"";""LGA-10_L2.0-W2.0-P0.50-TL_BMP580"";1;""BMP580"";;;",,,,,,,,,
"29;""U7"";""LQFP-64_10x10mm_P0.5mm"";1;""STM32F405RGTx"";;;",,,,,,,,,
"30;""C25","C24"";""CP_Radial_D4.0mm_P1.50mm"";2;""2.2uF"";;;",,,,,,,,
"31;""USB1"";""USB-C-SMD_TYPE-C-6PIN-2MD-073"";1;""TYPE-C 16PIN 2MD(073)"";;;",,,,,,,,,
"32;""RR1"";""R_1812_4532Metric"";1;""383"";;;",,,,,,,,,
"33;""U3"";""VQFN-15_L3.0-W2.5-P0.50-BL"";1;""TPS63070RNMR"";;;",,,,,,,,,
"34;""L4"";""L0603"";1;""FCM1608KF-601T03"";;;",,,,,,,,,
"35;""X2"";""FC-135R_L3.2-W1.5"";1;""Q13FC1350000400"";;;",,,,,,,,,
"36;""J1"";""TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal"";1;""Screw_Terminal_01x02"";;;",,,,,,,,,
"37;""L2"";""L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"";1;""1.5uh"";;;",,,,,,,,,
"38;""L3"";""L_01005_0402Metric"";1;""5.6uH"";;;",,,,,,,,,
"39;""Card1"";""TF-SMD_TF-01A"";1;""SD-CARD"";;;",,,,,,,,,
"40;""R6"";""R_2512_6332Metric"";1;""30.1k"";;;",,,,,,,,,
